order_id,date,customer_id,product,category,region,quantity,unit_price,discount_pct,discount,revenue,cost,profit,payment_method,channel
ORD100521,2024-08-24,CUST1212,Product_13,Electronics,West,5,159.84,0.0,0.0,799.2,508.62,290.58,Cash,Online
ORD100737,2024-05-25,CUST1250,Product_03,Sports,South,5,191.48,0.0,0.0,957.4,610.56,346.84,Wallet,Offline
ORD100740,2024-06-01,CUST1411,Product_11,Sports,North,3,490.08,5.0,73.51,1396.73,957.46,439.27,Card,Offline
ORD100660,2024-07-09,CUST1011,Product_04,Beauty,West,3,276.11,0.0,0.0,828.33,607.46,220.87,Cash,Online
ORD100411,2024-11-22,CUST1310,Product_06,Sports,North,1,66.36,0.0,0.0,66.36,41.73,24.63,UPI,Online
ORD100678,2024-06-09,CUST1827,Product_29,Clothing,South,4,271.9,0.0,0.0,1087.6,726.84,360.76,UPI,Offline
ORD100626,2023-05-12,CUST1994,Product_12,Home,East,5,97.12,0.0,0.0,485.6,292.11,193.49,Cash,Online
ORD100513,2024-08-29,CUST1665,Product_12,Beauty,South,2,88.46,15.0,26.54,150.38,100.75,49.63,NetBanking,Offline
ORD100859,2023-12-03,CUST1655,Product_05,Sports,East,2,320.98,5.0,32.1,609.86,447.79,162.07,Card,Online
ORD100136,2024-01-28,CUST1086,Product_10,Electronics,East,3,338.63,5.0,50.79,965.1,789.19,175.91,Card,Online
ORD100811,2024-03-25,CUST1766,Product_02,Home,North,4,90.79,5.0,18.16,345.0,217.8,127.2,Card,Offline
ORD100076,2024-07-09,CUST1352,Product_19,Sports,North,3,344.55,5.0,51.68,981.97,682.83,299.14,Cash,Offline
ORD100636,2023-02-08,CUST1936,Product_08,Home,East,2,296.6,5.0,29.66,563.54,434.35,129.19,Wallet,Online
ORD100973,2024-12-24,CUST1275,Product_08,Beauty,East,3,430.72,10.0,129.22,1162.94,923.81,239.13,Card,Online
ORD100938,2024-05-30,CUST1393,Product_04,Home,South,3,307.47,0.0,0.0,922.41,695.85,226.56,Wallet,Online
ORD100899,2024-04-18,CUST1547,Product_02,Sports,West,1,81.59,5.0,4.08,77.51,51.22,26.29,Card,Online
ORD100280,2023-05-11,CUST1978,Product_28,Sports,North,5,406.95,0.0,0.0,2034.75,1622.88,411.87,Card,Offline
ORD100883,2023-01-03,CUST1103,Product_04,Beauty,South,3,338.13,0.0,0.0,1014.39,798.4,215.99,Card,Offline
ORD100761,2024-05-02,CUST1830,Product_09,Home,North,1,190.24,5.0,9.51,180.73,122.51,58.22,UPI,Offline
ORD100319,2023-01-22,CUST1178,Product_27,Sports,South,3,222.48,5.0,33.37,634.07,494.52,139.55,UPI,Online
ORD100549,2024-06-08,CUST1797,Product_27,Clothing,South,4,364.54,0.0,0.0,1458.16,1042.76,415.4,UPI,Online
ORD100174,2023-08-13,CUST1133,Product_08,Electronics,North,3,432.29,0.0,0.0,1296.87,921.38,375.49,UPI,Online
ORD100371,2023-10-15,CUST1133,Product_08,Beauty,South,2,434.64,5.0,43.46,825.82,522.45,303.37,Card,Offline
ORD100527,2024-09-17,CUST1238,Product_02,Electronics,West,2,95.78,0.0,0.0,191.56,113.07,78.49,UPI,Offline
ORD100210,2024-11-29,CUST1072,Product_20,Sports,South,3,415.14,5.0,62.27,1183.15,903.2,279.95,Card,Offline
ORD100235,2024-09-01,CUST1970,Product_24,Beauty,East,1,242.54,0.0,0.0,242.54,134.35,108.19,Card,Offline
ORD100101,2023-05-09,CUST1128,Product_03,Home,North,4,303.44,5.0,60.69,1153.07,761.92,391.15,NetBanking,Offline
ORD100986,2023-09-16,CUST1355,Product_04,Clothing,North,5,252.7,0.0,0.0,1263.5,932.26,331.24,Card,Online
ORD100902,2023-05-25,CUST1848,Product_15,Home,North,4,354.97,15.0,212.98,1206.9,1042.43,164.47,UPI,Online
ORD100947,2023-02-09,CUST1219,Product_13,Electronics,East,2,207.15,15.0,62.14,352.16,297.84,54.32,Card,Online
ORD100346,2024-01-08,CUST1738,Product_13,Clothing,East,6,226.96,15.0,204.26,1157.5,797.31,360.19,Card,Online
ORD100139,2024-07-07,CUST1934,Product_20,Beauty,South,2,446.28,0.0,0.0,892.56,591.45,301.11,Wallet,Online
ORD100621,2024-10-18,CUST1302,Product_14,Clothing,North,4,582.85,0.0,0.0,2331.4,1719.13,612.27,UPI,Offline
ORD100499,2024-01-15,CUST1527,Product_23,Beauty,East,1,164.17,0.0,0.0,164.17,103.2,60.97,UPI,Offline
ORD100370,2024-09-17,CUST1354,Product_17,Electronics,West,5,286.33,10.0,143.16,1288.49,947.02,341.47,Card,Online
ORD100198,2023-04-23,CUST1543,Product_07,Home,North,3,500.87,0.0,0.0,1502.61,1126.04,376.57,UPI,Offline
ORD100687,2023-01-12,CUST1454,Product_10,Beauty,East,2,452.12,10.0,90.42,813.82,651.06,162.76,UPI,Offline
ORD100584,2023-02-08,CUST1335,Product_12,Electronics,North,2,136.9,20.0,54.76,219.04,215.33,3.71,Card,Offline
ORD100901,2024-06-20,CUST1929,Product_09,Home,South,4,197.15,15.0,118.29,670.31,466.43,203.88,Card,Online
ORD100059,2024-01-02,CUST1304,Product_18,Beauty,East,5,320.22,0.0,0.0,1601.1,903.46,697.64,UPI,Offline
ORD100328,2023-08-14,CUST1309,Product_15,Beauty,East,1,395.56,10.0,39.56,356.0,315.86,40.14,Card,Offline
ORD100096,2023-06-06,CUST1675,Product_01,Home,South,4,24.47,10.0,9.79,88.09,69.9,18.19,Card,Online
ORD100312,2024-02-05,CUST1329,Product_15,Home,North,4,330.78,0.0,0.0,1323.12,857.3,465.82,Card,Offline
ORD100974,2023-08-13,CUST1070,Product_22,Sports,West,4,120.84,20.0,96.67,386.69,360.13,26.56,Card,Online
ORD100299,2023-12-04,CUST1147,Product_19,Electronics,West,3,328.21,0.0,0.0,984.63,704.46,280.17,UPI,Online
ORD100277,2023-04-09,CUST1486,Product_11,Clothing,North,5,534.26,0.0,0.0,2671.3,1971.69,699.61,UPI,Offline
ORD100924,2024-11-22,CUST1765,Product_02,Sports,South,3,82.23,0.0,0.0,246.69,154.08,92.61,NetBanking,Offline
ORD100601,2023-09-10,CUST1917,Product_02,Clothing,West,5,71.66,0.0,0.0,358.3,214.25,144.05,Card,Online
ORD100439,2023-05-07,CUST1811,Product_12,Beauty,North,3,115.24,15.0,51.86,293.86,239.37,54.49,Cash,Offline
ORD100837,2024-06-17,CUST1932,Product_11,Electronics,North,1,596.48,15.0,89.47,507.01,376.15,130.86,Wallet,Offline
ORD100570,2024-07-17,CUST1797,Product_11,Electronics,West,4,627.56,15.0,376.54,2133.7,1927.97,205.73,Card,Offline
ORD100879,2024-06-09,CUST1750,Product_01,Electronics,North,3,16.12,20.0,9.67,38.69,29.84,8.85,Cash,Online
ORD100261,2023-10-25,CUST1449,Product_07,Electronics,South,4,474.23,0.0,0.0,1896.92,1445.5,451.42,Wallet,Offline
ORD100578,2024-04-13,CUST1727,Product_06,Electronics,South,1,54.39,0.0,0.0,54.39,32.1,22.29,Wallet,Online
ORD100023,2024-01-21,CUST1267,Product_14,Electronics,West,4,522.02,15.0,313.21,1774.87,1242.71,532.16,UPI,Offline
ORD100030,2023-09-10,CUST1225,Product_13,Clothing,West,3,255.7,5.0,38.36,728.74,538.45,190.29,UPI,Online
ORD100617,2024-05-10,CUST1700,Product_05,Home,North,4,461.02,15.0,276.61,1567.47,1078.66,488.81,Card,Online
ORD100010,2023-08-03,CUST1359,Product_12,Sports,East,3,136.16,0.0,0.0,408.48,316.37,92.11,Card,Online
ORD100221,2023-02-22,CUST1381,Product_05,Clothing,South,5,411.11,5.0,102.78,1952.77,1491.38,461.39,Card,Online
ORD100820,2024-06-03,CUST1199,Product_12,Clothing,East,2,128.54,15.0,38.56,218.52,198.26,20.26,NetBanking,Online
ORD100296,2024-04-17,CUST1072,Product_10,Home,South,2,350.37,0.0,0.0,700.74,390.29,310.45,UPI,Online
ORD100054,2023-08-30,CUST1363,Product_22,Beauty,South,4,115.25,0.0,0.0,461.0,299.13,161.87,UPI,Online
ORD100542,2023-04-06,CUST1395,Product_22,Clothing,West,2,110.13,0.0,0.0,220.26,170.74,49.52,Wallet,Online
ORD100209,2023-03-22,CUST1617,Product_05,Electronics,West,3,400.79,10.0,120.24,1082.13,759.61,322.52,Cash,Online
ORD100604,2023-06-23,CUST1979,Product_21,Home,South,3,394.12,0.0,0.0,1182.36,925.95,256.41,UPI,Offline
ORD100692,2024-01-08,CUST1392,Product_16,Home,East,1,37.14,10.0,3.71,33.43,28.64,4.79,Card,Online
ORD100662,2024-11-02,CUST1068,Product_13,Beauty,East,1,147.38,0.0,0.0,147.38,93.15,54.23,NetBanking,Offline
ORD100866,2024-12-19,CUST1293,Product_05,Home,West,2,346.26,0.0,0.0,692.52,493.91,198.61,Cash,Online
ORD100070,2024-07-19,CUST1657,Product_13,Home,East,5,245.6,10.0,122.8,1105.2,732.07,373.13,Card,Offline
ORD100543,2024-10-25,CUST1185,Product_11,Home,North,2,415.27,0.0,0.0,830.54,464.64,365.9,UPI,Online
ORD100107,2024-08-15,CUST1046,Product_04,Sports,South,1,294.12,10.0,29.41,264.71,189.99,74.72,UPI,Online
ORD100493,2024-05-11,CUST1010,Product_23,Electronics,North,2,126.86,0.0,0.0,253.72,147.52,106.2,UPI,Offline
ORD100590,2023-08-11,CUST1624,Product_12,Sports,South,1,133.61,0.0,0.0,133.61,96.54,37.07,Card,Online
ORD100741,2024-04-20,CUST1445,Product_11,Clothing,South,3,508.58,0.0,0.0,1525.74,890.57,635.17,UPI,Online
ORD100292,2023-09-11,CUST1087,Product_15,Beauty,South,4,436.36,0.0,0.0,1745.44,1348.31,397.13,Wallet,Online
ORD100289,2024-02-24,CUST1885,Product_16,Beauty,North,4,36.11,0.0,0.0,144.44,88.13,56.31,NetBanking,Offline
ORD100652,2024-05-19,CUST1406,Product_05,Electronics,East,2,438.56,0.0,0.0,877.12,482.47,394.65,Card,Offline
ORD100039,2024-11-17,CUST1915,Product_26,Beauty,East,2,151.26,10.0,30.25,272.27,171.48,100.79,UPI,Online
ORD100589,2024-02-02,CUST1770,Product_08,Sports,East,3,360.87,0.0,0.0,1082.61,664.22,418.39,Cash,Online
ORD100307,2023-10-04,CUST1438,Product_02,Sports,South,3,55.1,0.0,0.0,165.3,119.4,45.9,Card,Online
ORD100679,2023-05-23,CUST1050,Product_09,Home,South,2,264.26,0.0,0.0,528.52,384.86,143.66,Card,Online
ORD100066,2024-07-15,CUST1916,Product_14,Home,South,3,477.44,0.0,0.0,1432.32,793.03,639.29,UPI,Online
ORD100275,2023-01-09,CUST1326,Product_01,Beauty,South,2,19.45,0.0,0.0,38.9,27.97,10.93,NetBanking,Online
ORD100067,2024-01-23,CUST1002,Product_15,Home,South,6,289.21,5.0,86.76,1648.5,1061.14,587.36,UPI,Online
ORD100318,2024-01-10,CUST1890,Product_01,Home,South,4,25.47,5.0,5.09,96.79,76.01,20.78,UPI,Online
ORD100548,2024-11-25,CUST1042,Product_28,Home,North,2,414.49,0.0,0.0,828.98,568.01,260.97,NetBanking,Offline
ORD100998,2023-11-15,CUST1209,Product_01,Clothing,South,4,20.25,0.0,0.0,81.0,54.2,26.8,Wallet,Offline
ORD100714,2024-08-16,CUST1244,Product_11,Beauty,East,1,517.51,15.0,77.63,439.88,315.93,123.95,Cash,Online
ORD100753,2023-03-19,CUST1232,Product_26,Electronics,West,5,173.01,5.0,43.25,821.8,592.2,229.6,UPI,Offline
ORD100327,2023-01-27,CUST1438,Product_14,Clothing,South,3,470.8,0.0,0.0,1412.4,840.81,571.59,Wallet,Offline
ORD100382,2024-04-21,CUST1179,Product_03,Home,East,5,235.99,0.0,0.0,1179.95,861.09,318.86,UPI,Offline
ORD100451,2023-08-25,CUST1884,Product_04,Beauty,South,3,379.4,5.0,56.91,1081.29,753.51,327.78,UPI,Online
ORD100522,2024-02-22,CUST1716,Product_02,Beauty,East,3,83.1,0.0,0.0,249.3,190.99,58.31,Card,Offline
ORD100218,2024-02-07,CUST1038,Product_24,Clothing,West,3,389.93,15.0,175.47,994.32,862.24,132.08,UPI,Offline
